Identifier	Dose Form	
1209095002	Solution for intravesical and urethral irrigation
761906003	Oromucosal suspension spray
421221008	Suspension for inhalation
385096003	Dental emulsion
385111005	Cutaneous emulsion
764378009	Enteral dose form
1237265006	Concentrate for oral solution
1231713000	Oral pure liquid
385167002	Vaginal ointment
1229932007	Transdermal solution
420767002	Gastro-resistant oral pellets capsule
385122009	Eye gel
1231724003	Solution for cardioplegia or organ preservation
422336005	Nasal solution
739371005	Vaginal suspension spray
385178005	Vaginal tablet
421628006	Cutaneous cream
1173983000	Cutaneous oil for bathing
785910004	Prolonged-release intralesional implant
785899003	Solution for ocular irrigation
766233005	Gastro-resistant and prolonged-release oral granules
764499006	Buccal lozenge
764774009	Conventional release and prolonged-release oral tablet
385219001	Solution for injection
385059007	Gastro-resistant oral tablet
385060002	Prolonged-release oral tablet
1163573008	Film-coated oral tablet
420641004	Solution for inhalation
1231323007	Powder for dental cement
385139006	Ear powder
1230330006	Liquified gas for inhalation
421026006	Oral tablet
385025008	Oral emulsion
385140008	Ear spray
1217290000	Oromucosal cream
385094000	Dental solution
447050008	Orodispersible film
1236816003	Powder for solution for tissue adhesive
764842006	Prolonged-release ocular implant
1290360004	Chewable and/or dispersible oral tablet
385128008	Prolonged-release eye drops
385151008	Nasal ointment
1007391000202107	Oral gum
1209096001	Oral and rectal solution
420378007	Prolonged-release film-coated oral tablet
1230329001	Cryogenic gas for inhalation
840614006	Conventional release intraarticular implant
1231838002	Absorbent impregnated material for vapor inhalation
385185009	Rectal foam
385242008	Intravesical solution
385095004	Dental suspension
1231712005	Cutaneous pure liquid
385072008	Oromucosal drops
385278003	Cutaneous powder spray
1306760007	Prolonged-release intracameral implant
761907007	Powder for intravesical suspension
1237284009	Concentrate for emulsion for infusion
385047008	Modified-release oral granules
385024007	Oral suspension
1217288001	Soft oral capsule
385152001	Nasal drops
385220007	Suspension for injection
764773003	Oromucosal pastille
1231564001	Ointment for vapor inhalation
385163003	Ear and eye and nose drops
769120006	Effervescent powder for oral suspension
1230193002	Tablet for oromucosal solution for gargle
1237318003	Concentrate for cutaneous emulsion spray
1231473006	Solution for peritoneal dialysis
385061003	Modified-release oral tablet
785898006	Solution for irrigation
230591000087100	Powder for solution for hemodialysis
785908001	Shampoo
385070000	Oromucosal solution
385026009	Powder for oral solution
385164009	Ear and eye and nose ointment
385141007	Ear spray solution
385187001	Rectal solution
764787003	Oropharyngeal foam
1229935009	Sublingual emulsion spray
385229008	Solution for infusion
1231371007	Oromucosal film
421701006	Tablet for oral solution
385206000	Pressurized emulsion for inhalation
1230195009	Gas for dispersion for injection
1231711003	Pure liquid for vapor inhalation
1231474000	Solution for hemodialysis
385103000	Cutaneous foam
414951009	Oral elixir
385176009	Hard vaginal capsule
385279006	Cutaneous suspension spray
1255346009	Intestinal gel
1231563007	Powder for vapor inhalation
1237273002	Concentrate for dispersion for infusion
420631002	Vaginal insert
764486008	Prolonged-release cutaneous patch
761899004	Powder for rectal solution
1234923000	Gas for dispersion for infusion or injection
1230331005	Compressed gas for inhalation
1230194008	Gas for dispersion for infusion
385198000	Solution for nebulizer
764772008	Prolonged-release vaginal ring
1279737007	Prolonged-release eye drops solution
763446005	Gel for injection
385175008	Vaginal capsule
1234924006	Emulsion for infusion or injection
764843001	Powder for solution for infusion
385114002	Prolonged-release transdermal patch
1237274008	Concentrate for dispersion for infusion and/or injection
421713001	Ear solution
422201009	Tablet for cutaneous solution
385071001	Oromucosal suspension
421427005	Ear and eye ointment
1236769008	Gas for dispersion for infusion and/or injection
1231837007	Dispersion for nebulizer
1209141005	Emulsion for infusion and/or injection
385142000	Ear spray suspension
385207009	Powder for inhalation
1217289009	Oromucosal ointment
1231370008	Urethral ointment
764788008	Oropharyngeal solution
1237285005	Concentrate for emulsion for infusion and/or injection
385153006	Nasal drops solution
